household_size;economical_status:0-499;economical_status:500-899;economical_status:900-1499;economical_status:1500-1999;economical_status:2000-2599;economical_status:2600-2999;economical_status:3000-3599;economical_status:3600-3999;economical_status:4000-4599;economical_status:4600-4999;economical_status:5000-5599;economical_status:5600-5999;economical_status:6000-6599;economical_status:6600-6999;economical_status:7000-
4,5;1;1;1;1;1;1;1;2;3;3;3;4;4;4;5
4,3;1;1;1;1;1;1;1;2;3;3;3;4;4;4;5
4,0;1;1;1;1;1;1;1;2;3;3;3;4;4;4;5
3,9;1;1;1;1;1;1;1;2;3;3;3;4;4;4;5
3,8;1;1;1;1;1;1;1;2;3;3;3;4;4;4;5
3,7;1;1;1;1;1;1;1;2;3;3;3;4;4;4;5
3,6;1;1;1;1;1;1;1;2;3;3;3;4;4;4;5
3,5;1;1;1;1;1;1;1;2;3;3;3;4;4;4;5
3,4;1;1;1;1;1;1;2;2;3;3;3;4;4;4;5
3,3;1;1;1;1;1;1;2;2;3;3;3;4;4;4;5
3,2;1;1;1;1;1;1;2;2;3;3;3;4;4;4;5
3,1;1;1;1;1;1;1;2;2;3;3;3;4;4;4;5
3,0;1;1;1;1;1;1;2;2;3;3;3;4;4;4;5
2,9;1;1;1;1;1;2;2;2;3;3;4;4;4;4;5
2,8;1;1;1;1;1;2;2;2;3;3;4;4;4;4;5
2,7;1;1;1;1;1;2;2;2;3;3;4;4;4;4;5
2,6;1;1;1;1;1;2;2;2;3;4;4;4;4;4;5
2,5;1;1;1;1;1;2;2;2;3;4;4;4;4;4;5
2,4;1;1;1;1;1;2;2;3;3;4;4;4;4;5;5
2,3;1;1;1;1;1;2;2;3;3;4;4;4;4;5;5
2,2;1;1;1;1;2;3;3;3;4;4;4;4;5;5;5
2,1;1;1;1;1;2;3;3;3;4;4;4;4;5;5;5
2,0;1;1;1;1;2;3;3;3;4;4;4;4;5;5;5
1,9;1;1;1;1;2;3;3;4;4;4;4;5;5;5;5
1,8;1;1;1;1;2;3;3;4;4;4;4;5;5;5;5
1,6;1;1;1;1;2;3;3;4;4;4;4;5;5;5;5
1,5;1;1;1;2;3;3;3;4;4;4;4;5;5;5;5
1,3;1;1;1;2;3;3;4;4;4;4;5;5;5;5;5
1,0;1;1;2;3;3;4;4;4;5;5;5;5;5;5;5
